,State,Number_feature,Time_Step,number_layers,kernel_size,MAE,RMSE,R2_Score
207,Maharashtra,3,7,2,4,0.12314440310001373,0.1282828094745405,-0.7764559533257367
208,Maharashtra,3,7,3,1,0.0721057802438736,0.07774762263584656,0.3474831294951988
209,Maharashtra,3,7,3,2,0.05547221377491951,0.06459019996814762,0.5496493566784453
210,Maharashtra,3,7,3,3,0.376729279756546,0.38130678160524584,-14.69519121297944
211,Maharashtra,3,7,3,4,0.00864144042134285,0.009724723575535945,0.9897912617051915
212,Maharashtra,3,7,4,1,0.0891030877828598,0.09098121786757049,0.10644552355761971
213,Maharashtra,3,7,4,2,0.4052231013774872,0.41172720377456945,-17.299391880504054
214,Maharashtra,3,7,4,3,0.2529597580432892,0.2564652527423933,-6.100265460276199
215,Maharashtra,3,7,4,4,0.2122066766023636,0.21532759369929313,-4.00514753637922
216,Maharashtra,4,5,2,1,0.2952058017253876,0.3000169555521712,-6.623148126915935
217,Maharashtra,4,5,2,2,0.12053798139095306,0.1257300293333688,-0.3388156820369834
218,Maharashtra,4,5,2,3,0.38373425602912903,0.3940817472338982,-12.152715280527172
219,Maharashtra,4,5,2,4,0.1324649602174759,0.13936621150717457,-0.6449689220320829
220,Maharashtra,4,5,3,1,0.15165935456752777,0.15556968762133333,-1.0497111840300506
221,Maharashtra,4,5,3,2,0.13641484081745148,0.14489271096700848,-0.7780167356027607
222,Maharashtra,4,5,3,3,0.41643431782722473,0.42439869740072317,-14.254249063220625
223,Maharashtra,4,5,3,4,0.3613463044166565,0.37462627146049765,-10.886095739401103
224,Maharashtra,4,5,4,1,0.28906354308128357,0.2976956694325148,-6.505641246682239
225,Maharashtra,4,5,4,2,0.2803705334663391,0.2897675267473657,-6.111188677994478
226,Maharashtra,4,5,4,3,0.2748461663722992,0.2805483065010672,-5.665888195264847
227,Maharashtra,4,5,4,4,0.2605721056461334,0.26987093101073717,-5.168150486005648
228,Maharashtra,4,7,2,1,0.24404194951057434,0.24923763412871067,-5.705710139308755
229,Maharashtra,4,7,2,2,0.1994982808828354,0.20419587689460483,-3.501025294542228
230,Maharashtra,4,7,2,3,0.22686456143856049,0.2322964850953778,-4.82509199601666
231,Maharashtra,4,7,2,4,0.2157670110464096,0.22241493164683784,-4.3400512675337035
232,Maharashtra,4,7,3,1,0.054678793996572495,0.059484934596397254,0.618028004747948
233,Maharashtra,4,7,3,2,0.4778607487678528,0.4863399059906288,-24.532734399776686
234,Maharashtra,4,7,3,3,0.14903172850608826,0.15711334843782435,-1.6646715545059116
235,Maharashtra,4,7,3,4,0.2505773901939392,0.25726543529606605,-6.144641106898584
236,Maharashtra,4,7,4,1,0.1437741369009018,0.14961781042237335,-1.4164853168941414
237,Maharashtra,4,7,4,2,0.17196257412433624,0.17829198664532278,-2.431477746627105
238,Maharashtra,4,7,4,3,0.23047520220279694,0.23936893451715135,-5.185190980313438
239,Maharashtra,4,7,4,4,0.2515104115009308,0.2589333905513838,-6.237584744258351
240,Maharashtra,5,5,2,1,0.3431176543235779,0.3600808964674587,-9.981025911657888
241,Maharashtra,5,5,2,2,0.15417148172855377,0.1663932376573704,-1.344844521122969
242,Maharashtra,5,5,2,3,0.04786435887217522,0.057240985494727926,0.7225038846771789
243,Maharashtra,5,5,2,4,0.20977632701396942,0.2164332889369742,-2.96726203026552
244,Maharashtra,5,5,3,1,0.1968417912721634,0.20303190372074684,-2.491172469846889
245,Maharashtra,5,5,3,2,0.1104675903916359,0.12170951548082999,-0.25456114387122764
246,Maharashtra,5,5,3,3,0.16700775921344757,0.17293894439455282,-1.5329600360319149
247,Maharashtra,5,5,3,4,0.21400029957294464,0.2206406884788658,-3.1230059777401635
248,Maharashtra,5,5,4,1,0.5676653385162354,0.5738382700834147,-26.888281430562298
249,Maharashtra,5,5,4,2,0.06829444319009781,0.08076014200075955,0.44762138818317865
250,Maharashtra,5,5,4,3,0.23023754358291626,0.2373699443870356,-3.77193133611377
251,Maharashtra,5,5,4,4,0.13081640005111694,0.13752455302495045,-0.6017810770339802
252,Maharashtra,5,7,2,1,0.311101496219635,0.3180236333208786,-9.917829521635566
253,Maharashtra,5,7,2,2,0.29203325510025024,0.29573269725159795,-8.440961990999414
254,Maharashtra,5,7,2,3,0.276347815990448,0.28494408958364453,-7.764696293822007
255,Maharashtra,5,7,2,4,0.1719067245721817,0.17682688506836813,-2.3753134947558685
256,Maharashtra,5,7,3,1,0.24920831620693207,0.2556615603494272,-6.055834906028678
257,Maharashtra,5,7,3,2,0.07180850207805634,0.08059156776319663,0.2988729176458048
258,Maharashtra,5,7,3,3,0.09622418135404587,0.10528010699318896,-0.19649301392831853
259,Maharashtra,5,7,3,4,0.14146068692207336,0.1496157189162125,-1.4164176413127945
260,Maharashtra,5,7,4,1,0.2345377802848816,0.23990506186867486,-5.212928711703963
261,Maharashtra,5,7,4,2,0.15366661548614502,0.16075728033874706,-1.789708460953244
262,Maharashtra,5,7,4,3,0.15044866502285004,0.15496386851949362,-1.5922592296079103
263,Maharashtra,5,7,4,4,0.14726677536964417,0.15097081986494637,-1.4603878105904906
264,Maharashtra,6,5,2,1,0.10586817562580109,0.11090719386645281,-0.041746760532742844
265,Maharashtra,6,5,2,2,0.17996133863925934,0.183010198604047,-1.8365687756600702
266,Maharashtra,6,5,2,3,0.11362674087285995,0.11841963093462626,-0.18765452461906262
267,Maharashtra,6,5,2,4,0.036278076469898224,0.04161706672467967,0.8533150232911607
268,Maharashtra,6,5,3,1,0.24699147045612335,0.25387967777591314,-4.458817749590848
269,Maharashtra,6,5,3,2,0.12211079895496368,0.13382591658828302,-0.5167818654567484
270,Maharashtra,6,5,3,3,0.24476127326488495,0.2521531545610017,-4.384824411569583
271,Maharashtra,6,5,3,4,0.2706441879272461,0.27668999464910843,-5.483800416826244
272,Maharashtra,6,5,4,1,0.1311492770910263,0.13510822892852714,-0.545988741296513
273,Maharashtra,6,5,4,2,0.2801715135574341,0.28926459542099847,-6.086525413369118
274,Maharashtra,6,5,4,3,0.302184134721756,0.30915408627901875,-7.094550418612203
275,Maharashtra,6,5,4,4,0.12568002939224243,0.13237821174206843,-0.4841430161031304
276,Maharashtra,6,7,2,1,0.14693263173103333,0.15515977069897782,-1.5988175200895909
