,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,date
52,Virgin Islands,US,2020-11-12 05:30:39,18.3358,-64.8963,1413,23,1357.0,33.0,78.0,1317.2614386396688,25487.0,,1.6277423920736025,850.0,VIR,23760.114852518927,,2020-11-11
53,Virginia,US,2020-11-12 05:30:39,37.7693,-78.17,196506,3741,21863.0,170902.0,51.0,2302.215014693307,2841807.0,,1.903758663857592,84000051.0,USA,33293.898121485065,,2020-11-11
54,Washington,US,2020-11-12 05:30:39,47.4009,-121.4905,126574,2453,,117529.0,53.0,1576.003760000305,2644425.0,,2.0681437534892635,84000053.0,USA,34727.014548989726,,2020-11-11
55,West Virginia,US,2020-11-12 05:30:39,38.4912,-80.9545,30201,553,21877.0,7771.0,54.0,1685.1854228475675,875117.0,,1.8310651965166715,84000054.0,USA,48830.64837873232,,2020-11-11
56,Wisconsin,US,2020-11-12 05:30:39,44.2685,-89.6165,301349,2457,219304.0,79588.0,55.0,5175.653343601663,3679124.0,,0.8475223080215962,84000055.0,USA,63188.762637755965,,2020-11-11
57,Wyoming,US,2020-11-12 05:30:39,42.756,-107.3025,19374,127,11234.0,8013.0,56.0,3347.507338978746,146613.0,,0.6555177041395684,84000056.0,USA,25332.30584751166,,2020-11-11
0,Alabama,US,2020-11-13 05:30:30,32.3182,-86.9023,210637,3213,88038.0,119386.0,1.0,4295.921936455589,1421590.0,,1.525373035126782,84000001.0,USA,28993.195239420907,,2020-11-12
1,Alaska,US,2020-11-13 05:30:30,61.3707,-152.4044,21825,98,7161.0,14555.0,2.0,2981.634759310774,844666.0,,0.4401247019988997,84000002.0,USA,115463.30027544445,,2020-11-12
2,American Samoa,US,2020-11-13 05:30:30,-14.270999999999999,-170.132,0,0,,0.0,60.0,0.0,1768.0,,,16.0,ASM,3177.5129850290255,,2020-11-12
3,Arizona,US,2020-11-13 05:30:30,33.7298,-111.4312,266562,6240,44363.0,215959.0,4.0,3662.211348511009,3162058.0,,2.3409188106331733,84000004.0,USA,26426.443011865966,,2020-11-12
4,Arkansas,US,2020-11-13 05:30:30,34.9697,-92.3731,128006,2144,111357.0,14505.0,5.0,4241.693628877157,1470147.0,,1.6749214880552474,84000005.0,USA,48715.7880365988,,2020-11-12
5,California,US,2020-11-13 05:30:30,36.1162,-119.6816,1011951,18227,,985981.0,6.0,2541.279441554073,20342072.0,,1.8060662313915925,84000006.0,USA,51482.985404288695,,2020-11-12
6,Colorado,US,2020-11-13 05:30:30,39.0598,-105.3111,147599,2468,8980.0,136151.0,8.0,2563.0450848936293,2347268.0,,1.6720980494447797,84000008.0,USA,40760.12513857208,,2020-11-12
