,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,date,Total_Test_Results,Case_Fatality_Ratio
2467,Grand Princess,US,2020-05-25 02:32:50,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999.0,USA,,,2020-05-24,,
2468,Guam,US,2020-05-25 02:32:50,13.4443,144.7937,166,5,138.0,23.0,66.0,101.07837227286291,5569.0,,3.0120481927710845,316.0,GUM,3390.9967179974306,,2020-05-24,,
2469,Hawaii,US,2020-05-25 02:32:50,21.0943,-157.4983,643,17,589.0,37.0,15.0,45.41370971387244,49572.0,84.0,2.6438569206842923,84000015.0,USA,3501.16394702346,13.063763608087092,2020-05-24,,
2470,Idaho,US,2020-05-25 02:32:50,44.2405,-114.4788,2626,79,1755.0,792.0,16.0,146.9448509147681,41406.0,225.0,3.0083777608530085,84000016.0,USA,2316.983433730726,8.568164508758569,2020-05-24,,
2471,Illinois,US,2020-05-25 02:32:50,40.3495,-88.9861,110304,4856,,105448.0,17.0,870.4668413482167,747921.0,,4.402378880185669,84000017.0,USA,5902.237728894687,,2020-05-24,,
2472,Indiana,US,2020-05-25 02:32:50,39.8494,-86.2583,31376,1975,,29400.0,18.0,466.05732820040464,220801.0,5285.0,6.297807241203468,84000018.0,USA,3279.7655572404883,16.844084650688426,2020-05-24,,
2473,Iowa,US,2020-05-25 02:32:50,42.0115,-93.2105,17251,456,9318.0,7477.0,19.0,546.7707531053194,127756.0,,2.643325024636253,84000019.0,USA,4049.228701740373,,2020-05-24,,
2474,Kansas,US,2020-05-25 02:32:50,38.5266,-96.7265,9004,205,485.0,8314.0,20.0,309.0638358927325,76434.0,787.0,2.2767658818302983,84000020.0,USA,2623.6100880303325,8.74055975122168,2020-05-24,,
2475,Kentucky,US,2020-05-25 02:32:50,37.6681,-84.6701,8571,391,3102.0,5078.0,21.0,191.84483734597407,169856.0,2131.0,4.561894761404737,84000021.0,USA,3801.8897085798358,24.862909812157273,2020-05-24,,
2476,Louisiana,US,2020-05-25 02:32:50,31.1695,-91.8678,37169,2691,26249.0,8229.0,22.0,799.5406980821264,316036.0,,7.2399042212596525,84000022.0,USA,6798.236273751859,,2020-05-24,,
2477,Maine,US,2020-05-25 02:32:50,44.6939,-69.3819,2055,78,1263.0,714.0,23.0,152.87767108164485,37505.0,252.0,3.7956204379562037,84000023.0,USA,2790.110488524132,12.262773722627735,2020-05-24,,
2478,Maryland,US,2020-05-25 02:32:50,39.0639,-76.8021,46313,2277,3319.0,40717.0,24.0,766.0511307247489,240362.0,7939.0,4.916546110163453,84000024.0,USA,3975.7645128422278,17.142055146503147,2020-05-24,,
2479,Massachusetts,US,2020-05-25 02:32:50,42.2302,-71.5301,92675,6372,,86303.0,25.0,1344.5768540108,532373.0,9308.0,6.875640679794983,84000025.0,USA,7723.9429565718,10.043701106015646,2020-05-24,,
2480,Michigan,US,2020-05-25 02:32:50,43.3266,-84.5361,54679,5228,33168.0,16283.0,26.0,547.5095918565771,451232.0,,9.561257521169004,84000026.0,USA,4518.25834694539,,2020-05-24,,
2481,Minnesota,US,2020-05-25 02:32:50,45.6945,-93.9002,20573,878,14115.0,5580.0,27.0,364.7933056624971,197964.0,2588.0,4.267729548437273,84000027.0,USA,3510.229036220803,12.579594614300294,2020-05-24,,
2482,Mississippi,US,2020-05-25 02:32:50,32.7416,-89.6787,13260,625,7681.0,4954.0,28.0,445.5422090762257,137902.0,2023.0,4.71342383107089,84000028.0,USA,4633.571773456235,15.256410256410255,2020-05-24,,
2483,Missouri,US,2020-05-25 02:32:50,38.4561,-92.2884,12155,691,,11463.0,29.0,197.94936901907445,151619.0,,5.646555272038852,84000029.0,USA,2470.399652753564,,2020-05-24,,
2484,Montana,US,2020-05-25 02:32:50,46.9219,-110.4544,479,16,441.0,22.0,30.0,44.81753928318136,33381.0,65.0,3.3402922755741127,84000030.0,USA,3123.28659459682,13.569937369519833,2020-05-24,,
2485,Nebraska,US,2020-05-25 02:32:50,41.1254,-98.2681,12134,147,,11987.0,31.0,627.2720129362575,83205.0,,1.2114718971485083,84000031.0,USA,4301.315958163945,,2020-05-24,,
2486,Nevada,US,2020-05-25 02:32:50,38.3135,-117.0554,7881,380,359.0,7142.0,32.0,255.86366404818455,110281.0,,4.821723131582287,84000032.0,USA,3580.370604605741,,2020-05-24,,
2487,New Hampshire,US,2020-05-25 02:32:50,43.4525,-71.5639,4149,209,2197.0,1743.0,33.0,305.1383713156693,59539.0,419.0,5.037358399614365,84000033.0,USA,4378.798141663927,10.09881899252832,2020-05-24,,
